ID,ID.1,Institution.Roles,Political.Roles
A. Webster,Claflin University,Board Member,
A.C. Garlington,Newberry College,Board Member,Legislator
A.C. Hawthorne,Erskine College,Board Member,
A.D. Bowers,North Greenville University,Board Member,
A.M. Shipp,Wofford College,Board Member,
A.S. Steele,Voorhees University,"Board Member,Founder",
A.T. Carr,Allen University,Board Member,
Abner Blocker,Furman University,Board Member,
Abram Haddon,Erskine College,Board Member,
Abram Middleton,Claflin University,Board Member,
Alan Johnstone,Clemson University,Board Member,
Alexander N. Talley,Columbia College,Board Member,
Alonzo Webster,Claflin University,"Key Figure,President",
Andrew Wallace,Columbia College,Board Member,
Arnoldus Vanderhost,College of Charleston,Board Member,
Arthur Middleton,College of Charleston,Board Member,"Founding Father,Legislator"
B.H. William,Allen University,Board Member,
Bartlee Smith,University of South Carolina,Board Member,
Basil Manly,Furman University,Board Member,
Bathsheba Benedict,Benedict College,"Benefactor,Founder",
Benjamin Franklin Neves,North Greenville University,"Benefactor,Key Figure",
Benjamin Franklin Wilson,Converse University,President,
Benjamin Perry Robertson,North Greenville University,Key Figure,
Benjamin Ryan Tillman,Clemson University,Board Member,"Legislator,Governor"
Benjamin Ryan Tillman,South Carolina State University,Key Figure,"Legislator,Governor"
Benjamin Ryan Tillman,Winthrop University,Key Figure,"Legislator,Governor"
Benjamin S. Screven,Furman University,Board Member,Legislator
Benjamin Smith,College of Charleston,Benefactor,Legislator
Benjamin Wofford,Wofford College,"Benefactor,Founder",
C.F. Bergman,Lutheran Theological Southern Seminary,Board Member,
C.J. Colcock,Medical University of South Carolina,Board Member,Legislator
Charles Betts,Wofford College,Board Member,
Charles C. Pinckney,University of South Carolina,Board Member,"Foreign Ambassador,Founding Father,Legislator"
Charles C. Pinckney,College of Charleston,Board Member,"Foreign Ambassador,Founding Father,Legislator"
Charles D. Mallary,Furman University,Board Member,
Charles Drayton,College of Charleston,Board Member,"Lt Governor,Legislator"
Charles Edwin Fleming,Converse University,Board Member,
Charles Pinckney,College of Charleston,Board Member,"Founding Father,Governor,Legislator"
Claudius H. Pritchard,Columbia College,Board Member,
Clough Beard,Wofford College,Board Member,
Cole Blease,South Carolina State University,Key Figure,"Governor,Legislator"
Colin Murchison,Columbia College,Board Member,
D. Picket,Allen University,Board Member,
D.E. Dunlap,University of South Carolina,Board Member,
D.J. Bradham,South Carolina State University,"Key Figure,Board Member",
D.M. Blackwelder,Medical University of South Carolina,President,
D.M. Pierce,Benedict College,Board Member,
D.S. Rice,Allen University,Board Member,
Daniel Alexander Payne,Allen University,"Key Figure,Board Member",
Daniel Bourdeaux,College of Charleston,Board Member,
Daniel DeSaussure,College of Charleston,Board Member,Legislator
Daniel K. Norris,Clemson University,Board Member,Legislator
Daniel Wallace,The Citadel,Board Member,
David Bancroft Johnson,Winthrop University,"Key Figure,Founder,President",
David Jamison,The Citadel,Board Member,Legislator
David Oliphant,College of Charleston,Board Member,Legislator
David Ramsay,College of Charleston,Board Member,Legislator
David Ramsay,Medical University of South Carolina,Key Figure,Legislator
David Robinson Duncan,Converse University,Board Member,Legislator
Dexter Edgar Converse,Converse University,"Benefactor,Founder,Board Member",
Elias Ball Hort,Newberry College,Board Member,Legislator
E.C. Leitner,Wofford College,Board Member,Legislator
E.R. Roberts,Benedict College,Board Member,
E.S. Joynes,Winthrop University,Board Member,
E.T. Copeland,Presbyterian College,Board Member,
Eli Thomas Stackhouse,Clemson University,Board Member,Legislator
Ebenezer Erskine Pressly,Erskine College,"Key Figure,President,Namesake,Board Member",
Elias Horry,Medical University of South Carolina,Board Member,Legislator
Elizabeth Rodman Voorhees,Voorhees University,Benefactor,
Elizabeth Wright,Voorhees University,"Founder,Key Figure,Board Member,President",
Emily Howland,Voorhees University,Board Member,
Enoch Agnew,Erskine College,Board Member,
F.P. Bates,North Greenville University,Board Member,
F.W. McMaster,Winthrop University,Board Member,Legislator
G.C. Young,Presbyterian College,Board Member,
Gabriel Manigault,College of Charleston,Board Member,
George P. Copeland,Presbyterian College,Board Member,
George W. Anderson,Lander University,Board Member,Legislator
George W. Kelley,Voorhees University,Board Member,
Gerhard Muller,Newberry College,Board Member,Legislator
Godfrey Dreher,Lutheran Theological Southern Seminary,Board Member,
H. Aubrey Strode,Clemson University,President,
H. Bass,Wofford College,Board Member,
H.A. DeSaussure,Medical University of South Carolina,Board Member,
H.A.C. Walker,Wofford College,Board Member,
H.B. Crawley,North Greenville University,Board Member,
H.H. Durant,Wofford College,Board Member,
H.H. Thomson,Wofford College,Board Member,Legislator
H.K. Ezell,North Greenville University,Board Member,
H.P. Goodwin,North Greenville University,Board Member,
Harvey Wofford,Wofford College,Board Member,
Henry Dana Ward,University of South Carolina,Board Member,Legislator
Henry Horlbeck,Lutheran Theological Southern Seminary,Board Member,Legislator
Henry L. Pinckney,Medical University of South Carolina,Board Member,Legislator
Henry Muller,Lutheran Theological Southern Seminary,Board Member,
Henry Summer,Newberry College,Board Member,Legislator
Henry William DeSaussure,University of South Carolina,Board Member,Legislator
Henry Young,Presbyterian College,Board Member,
Hilliard C. Parsons,Columbia College,Board Member,
Hugh Lafayette Brock,North Greenville University,President,
Hugh Rutledge,College of Charleston,Board Member,Legislator
Isaac Alexander,University of South Carolina,Board Member,Legislator
Isaac B. Smith,Allen University,Board Member,
J. Calhoun Copeland,Presbyterian College,Board Member,
J. Eigleberger,Lutheran Theological Southern Seminary,Board Member,
J. Tupper Henery,North Greenville University,Board Member,
J. Wofford Tucker,Wofford College,Board Member,Legislator
J.A. Bailey,Presbyterian College,Board Member,
J.A. Sasportas,Claflin University,Board Member,
J.C. Butler,Benedict College,Board Member,
J.C. Watts,Allen University,President,
J.D. Cooper,North Greenville University,Board Member,
John E. Bradley,Clemson University,Board Member,Legislator
J.E. Hayne,Allen University,Board Member,
James Ezra Tindal,Clemson University,Board Member,Legislator
John Edward Wannamaker,Clemson University,Board Member,
J.H. Bailey,Newberry College,Board Member,
Jesse Havries Hardin,Clemson University,Board Member,Legislator
J.H. Kellogg,Voorhees University,Board Member,
J.H. Means,The Citadel,Board Member,Governor
J.H. Phinney,Presbyterian College,Board Member,
J.H. Wheeler,Wofford College,Board Member,
J.H. Young,Presbyterian College,Board Member,Legislator
James L. Orr,Clemson University,Board Member,"Governor's Staff,Legislator"
J.P. Aull,Newberry College,Board Member,
J.P. Margart,Newberry College,Board Member,
J.P. Richardson,Clemson University,Key Figure,"Governor,Legislator"
J.P. Richardson,Winthrop University,Board Member,
"J.W. Copeland, Sr.",Presbyterian College,Board Member,
J.W. Floyd,South Carolina State University,Key Figure,Legislator
Jacob Ford,Medical University of South Carolina,Board Member,
Jacob Moorer,Voorhees University,Board Member,
Jacob Schumpert,Newberry College,Board Member,
James Burchill Richardson,University of South Carolina,Board Member,"Governor,Legislator"
James C. Furman,Furman University,"President,Noteworthy",
James Calhoun,Erskine College,Noteworthy,
James Fair,Erskine College,Board Member,Legislator
James Jones,The Citadel,Board Member,
James Lindsay,Erskine College,Board Member,
James P. Pearson,Presbyterian College,Board Member,
James S. Guignard,Columbia College,Board Member,
James Stacy,Wofford College,Board Member,
Jasper Adams,Medical University of South Carolina,Board Member,
Jesse Hartwell,Furman University,Board Member,
Jessie C. Dorsey,Voorhees University,"Key Figure,Founder",
Job J. Boozer,Presbyterian College,Board Member,
John A. Porter,Columbia College,Board Member,
John B. Boazman,Lander University,Board Member,
John B. Cleveland,Converse University,Board Member,
John Bachman,Lutheran Theological Southern Seminary,"Key Figure,Board Member",
John Bachman,Newberry College,"Key Figure,Board Member",
