id,Type,Relationship,Political.Roles,Institution
A. Webster,Person,Board Member,,Claflin University
A.C. Garlington,Person,Board Member,Legislator,Newberry College
A.C. Hawthorne,Person,Board Member,,Erskine College
A.D. Bowers,Person,Board Member,,North Greenville University
A.M. Shipp,Person,Board Member,,Wofford College
A.S. Steele,Person,"Board Member,Founder",,Voorhees University
A.T. Carr,Person,Board Member,,Allen University
Abner Blocker,Person,Board Member,,Furman University
Abram Haddon,Person,Board Member,,Erskine College
Abram Middleton,Person,Board Member,,Claflin University
Alan Johnstone,Person,Board Member,,Clemson University
Alexander N. Talley,Person,Board Member,,Columbia College
Alonzo Webster,Person,"Key Figure,President",,Claflin University
Andrew Wallace,Person,Board Member,,Columbia College
Arnoldus Vanderhost,Person,Board Member,,College of Charleston
Arthur Middleton,Person,Board Member,"Founding Father,Legislator",College of Charleston
B.H. William,Person,Board Member,,Allen University
Bartlee Smith,Person,Board Member,,University of South Carolina
Basil Manly,Person,Board Member,,Furman University
Bathsheba Benedict,Person,"Benefactor,Founder",,Benedict College
Benjamin Franklin Neves,Person,"Benefactor,Key Figure",,North Greenville University
Benjamin Franklin Wilson,Person,President,,Converse University
Benjamin Perry Robertson,Person,Key Figure,,North Greenville University
Benjamin Ryan Tillman,Person,Board Member,"Legislator,Governor",Clemson University
Benjamin S. Screven,Person,Board Member,Legislator,Furman University
Benjamin Smith,Person,Benefactor,Legislator,College of Charleston
Benjamin Wofford,Person,"Benefactor,Founder",,Wofford College
C.F. Bergman,Person,Board Member,,Lutheran Theological Southern Seminary
C.J. Colcock,Person,Board Member,Legislator,Medical University of South Carolina
Charles Betts,Person,Board Member,,Wofford College
Charles C. Pinckney,Person,Board Member,"Foreign Ambassador,Founding Father,Legislator",University of South Carolina
Charles D. Mallary,Person,Board Member,,Furman University
Charles Drayton,Person,Board Member,"Lt Governor,Legislator",College of Charleston
Charles Edwin Fleming,Person,Board Member,,Converse University
Charles Pinckney,Person,Board Member,"Founding Father,Governor,Legislator",College of Charleston
Claudius H. Pritchard,Person,Board Member,,Columbia College
Clough Beard,Person,Board Member,,Wofford College
Cole Blease,Person,Key Figure,"Governor,Legislator",South Carolina State University
Colin Murchison,Person,Board Member,,Columbia College
D. Picket,Person,Board Member,,Allen University
D.E. Dunlap,Person,Board Member,,University of South Carolina
D.J. Bradham,Person,"Key Figure,Board Member",,South Carolina State University
D.M. Blackwelder,Person,President,,Medical University of South Carolina
D.M. Pierce,Person,Board Member,,Benedict College
D.S. Rice,Person,Board Member,,Allen University
Daniel Alexander Payne,Person,"Key Figure,Board Member",,Allen University
Daniel Bourdeaux,Person,Board Member,,College of Charleston
Daniel DeSaussure,Person,Board Member,Legislator,College of Charleston
